,Emma,Harriet,Elton,Weston,Knightley,Jane,Woodhouse,Frank Churchill,Miss Bates,Jane Fairfax
Emma,0.0,0.004198636107867184,0.010159329161106706,0.004203384952471412,0.0026432400430315673,0.004260167620196958,0.0020798236880239687,0.0014057172682208896,0.0025240058599281827,0.001064105432141132
Harriet,0.004198636107867184,0.0,0.13560695064725317,0.09164843304111092,0.06947589518061478,0.018897978673926646,0.02203253197118593,0.012870641513256315,0.020851374434896493,0.013988940809201877
Elton,0.010159329161106706,0.13560695064725317,0.0,0.19532256546954777,0.17626743496317696,0.0524534082460041,0.027511271615997798,0.03615867216554599,0.02109205923211649,0.027716180351231974
Weston,0.004203384952471412,0.09164843304111092,0.19532256546954777,0.0,0.02845768479874145,0.037015259543621476,0.010343677022885354,0.010242987533731977,0.014770564286764824,0.01125408604641848
Knightley,0.0026432400430315673,0.06947589518061478,0.17626743496317696,0.02845768479874145,0.0,0.05228574216677953,0.014557450257114735,0.011834314254435468,0.012207487957196771,0.013314093554776207
Jane,0.004260167620196958,0.018897978673926646,0.0524534082460041,0.037015259543621476,0.05228574216677953,0.0,0.18854408169636755,0.0474553380185886,0.05283360454304997,0.04223417958282967
Woodhouse,0.0020798236880239687,0.02203253197118593,0.027511271615997798,0.010343677022885354,0.014557450257114735,0.18854408169636755,0.0,0.12860981193091747,0.0532980079198518,0.05560536433700417
Frank Churchill,0.0014057172682208896,0.012870641513256315,0.03615867216554599,0.010242987533731977,0.011834314254435468,0.0474553380185886,0.12860981193091747,0.0,0.06715207532700912,0.07747056176808652
Miss Bates,0.0025240058599281827,0.020851374434896493,0.02109205923211649,0.014770564286764824,0.012207487957196771,0.05283360454304997,0.0532980079198518,0.06715207532700912,0.0,0.09102120452316673
Jane Fairfax,0.001064105432141132,0.013988940809201877,0.027716180351231974,0.01125408604641848,0.013314093554776207,0.04223417958282967,0.05560536433700417,0.07747056176808652,0.09102120452316673,0.0
