,Pagett,Eustace,Suzanne,Anne,Blair,Harry,Beddingfeld,Rayburn,Chichester,Eustace Pedler
Pagett,0.0,0.06422950225333492,0.09476056510501424,0.02743604576683009,0.028425389259661135,0.03613028638293285,0.014079354103296682,0.01088516036925152,0.02699710939169863,0.014316059164829682
Eustace,0.06422950225333492,0.0,0.09691390074898998,0.0179814306575816,0.02385323114679102,0.02900585835399042,0.011974873498986894,0.009794327978942183,0.030426568270083845,0.009907428971787776
Suzanne,0.09476056510501424,0.09691390074898998,0.0,0.07233051762166207,0.16380553106480988,0.15377168343832726,0.043913276781867336,0.06667468792073294,0.12064211607524088,0.08053374877248244
Anne,0.02743604576683009,0.0179814306575816,0.07233051762166207,0.0,0.17743200096949013,0.12408450881123936,0.0372206714775738,0.04668860439464161,0.11824801183457274,0.05149888658065783
Blair,0.028425389259661135,0.02385323114679102,0.16380553106480988,0.17743200096949013,0.0,0.21842078471309875,0.037487219838165046,0.18381209597960302,0.12640207492784913,0.049321204397004374
Harry,0.03613028638293285,0.02900585835399042,0.15377168343832726,0.12408450881123936,0.21842078471309875,0.0,0.2048310738297618,0.1882740209897906,0.3382683503403116,0.2460342028118523
Beddingfeld,0.014079354103296682,0.011974873498986894,0.043913276781867336,0.0372206714775738,0.037487219838165046,0.2048310738297618,0.0,0.22996462057447806,0.3082994191032117,0.12422349067736736
Rayburn,0.01088516036925152,0.009794327978942183,0.06667468792073294,0.04668860439464161,0.18381209597960302,0.1882740209897906,0.22996462057447806,0.0,0.5556972873401839,0.3924438496148998
Chichester,0.02699710939169863,0.030426568270083845,0.12064211607524088,0.11824801183457274,0.12640207492784913,0.3382683503403116,0.3082994191032117,0.5556972873401839,0.0,0.18299560621101782
Eustace Pedler,0.014316059164829682,0.009907428971787776,0.08053374877248244,0.05149888658065783,0.049321204397004374,0.2460342028118523,0.12422349067736736,0.3924438496148998,0.18299560621101782,0.0
