,Scrooge,Bob,Ghost,Marley,Joe,Cratchit,Tiny Tim,Peter,Bob Cratchit,Fred
Scrooge,0.0,0.01941683671429725,0.00195793434071281,0.002385884787024491,0.01999571545342251,0.003659180785376267,0.005952939240809939,0.010034103788958443,0.0033053253632912265,0.003620109812802104
Bob,0.01941683671429725,0.0,0.3792715400201259,0.32004595775617406,0.35537938952664233,0.019636907240556913,0.009615264780414265,0.030237642461510467,0.06657181524095322,0.2341038974154969
Ghost,0.00195793434071281,0.3792715400201259,0.0,0.36891188529298563,0.2589999666675915,0.28040616662796175,0.2139216989148197,0.12851573323490478,0.31685245423405384,0.15329620424703413
Marley,0.002385884787024491,0.32004595775617406,0.36891188529298563,0.0,0.6097695037278695,0.2197972249466583,0.3204364037804805,0.42652815125538257,0.05573806123334229,0.24891587754273167
Joe,0.01999571545342251,0.35537938952664233,0.2589999666675915,0.6097695037278695,0.0,0.7015673631475045,0.6350493780435293,0.4534987042502739,0.731872330225207,0.5504813523709697
Cratchit,0.003659180785376267,0.019636907240556913,0.28040616662796175,0.2197972249466583,0.7015673631475045,0.0,0.23492388391226418,0.3598303161469513,0.12706245012963197,0.3794822209119823
Tiny Tim,0.005952939240809939,0.009615264780414265,0.2139216989148197,0.3204364037804805,0.6350493780435293,0.23492388391226418,0.0,0.29012621523392473,0.09556434533968508,0.31957205741250555
Peter,0.010034103788958443,0.030237642461510467,0.12851573323490478,0.42652815125538257,0.4534987042502739,0.3598303161469513,0.29012621523392473,0.0,0.4340081454871826,0.34144508652237104
Bob Cratchit,0.0033053253632912265,0.06657181524095322,0.31685245423405384,0.05573806123334229,0.731872330225207,0.12706245012963197,0.09556434533968508,0.4340081454871826,0.0,0.6352643808976106
Fred,0.003620109812802104,0.2341038974154969,0.15329620424703413,0.24891587754273167,0.5504813523709697,0.3794822209119823,0.31957205741250555,0.34144508652237104,0.6352643808976106,0.0
