,Oliver,Bumble,Sikes,Fagin,Brownlow,Noah,Rose,Nancy,Giles,Sowerberry
Oliver,0.0,0.05010974162105952,0.09412395913331825,0.06267483638239053,0.021403394660224243,0.00972822270427083,0.006943911339135451,0.013730896186759418,0.02147158376380036,0.004688762787240203
Bumble,0.05010974162105952,0.0,0.4350088469469776,0.25983663089624853,0.0838612401660162,0.07319444193187105,0.09314779242297663,0.1387973557756126,0.05108625638934546,0.06078514843354957
Sikes,0.09412395913331825,0.4350088469469776,0.0,0.05773447055315213,0.06534522703338909,0.16666404902204252,0.2272887296423727,0.008505544198723913,0.5326616213465935,0.5101651806744661
Fagin,0.06267483638239053,0.25983663089624853,0.05773447055315213,0.0,0.07472102459270274,0.1644207823989027,0.2673693525332296,0.01574729427173211,0.55898730340302,0.5629937700695383
Brownlow,0.021403394660224243,0.0838612401660162,0.06534522703338909,0.07472102459270274,0.0,0.23031528501627324,0.28356184011935387,0.1046005345085442,0.5318672044572508,0.5479234105357784
Noah,0.00972822270427083,0.07319444193187105,0.16666404902204252,0.1644207823989027,0.23031528501627324,0.0,0.1879957517537476,0.22254657038433293,0.48433110567025656,0.37235222553082986
Rose,0.006943911339135451,0.09314779242297663,0.2272887296423727,0.2673693525332296,0.28356184011935387,0.1879957517537476,0.0,0.4101983168290546,0.4341121583854013,0.2841301543328594
Nancy,0.013730896186759418,0.1387973557756126,0.008505544198723913,0.01574729427173211,0.1046005345085442,0.22254657038433293,0.4101983168290546,0.0,0.7550190530146524,0.6918532260364849
Giles,0.02147158376380036,0.05108625638934546,0.5326616213465935,0.55898730340302,0.5318672044572508,0.48433110567025656,0.4341121583854013,0.7550190530146524,0.0,0.32168763478734397
Sowerberry,0.004688762787240203,0.06078514843354957,0.5101651806744661,0.5629937700695383,0.5479234105357784,0.37235222553082986,0.2841301543328594,0.6918532260364849,0.32168763478734397,0.0
