,Pickwick,Sam,Weller,Winkle,Tupman,Bob Sawyer,Snodgrass,Sammy,Pott,Bardell
Pickwick,0.0,0.016758097649159247,0.015236239898235793,0.007590320033634055,0.0023749562725454264,0.0018268388824968225,0.002871082256421932,0.009168929209840615,0.007351735337587521,0.00251311137150982
Sam,0.016758097649159247,0.0,0.04241007685054922,0.05157722262415827,0.01871332315589328,0.023491187244868282,0.024770200999528993,0.003955500852256938,0.010626202341138667,0.02134102019675313
Weller,0.015236239898235793,0.04241007685054922,0.0,0.30379473904449283,0.13581088589068582,0.04039301156729739,0.057253711250705656,0.0010469227911672936,0.026659615249045625,0.02921453226521065
Winkle,0.007590320033634055,0.05157722262415827,0.30379473904449283,0.0,0.041932033251583144,0.07668910038259073,0.01991053315112194,0.09323240823711437,0.08611921161952858,0.03786059007729624
Tupman,0.0023749562725454264,0.01871332315589328,0.13581088589068582,0.041932033251583144,0.0,0.14052351415668238,0.025460506816484298,0.2541154843848823,0.21472349782295386,0.08974632279047767
Bob Sawyer,0.0018268388824968225,0.023491187244868282,0.04039301156729739,0.07668910038259073,0.14052351415668238,0.0,0.2701013712818281,0.2976221355917831,0.307677566560433,0.15333080546027583
Snodgrass,0.002871082256421932,0.024770200999528993,0.057253711250705656,0.01991053315112194,0.025460506816484298,0.2701013712818281,0.0,0.5471719107361088,0.5672061914048183,0.24417467623840303
Sammy,0.009168929209840615,0.003955500852256938,0.0010469227911672936,0.09323240823711437,0.2541154843848823,0.2976221355917831,0.5471719107361088,0.0,0.25055754857448503,0.14241647363529614
Pott,0.007351735337587521,0.010626202341138667,0.026659615249045625,0.08611921161952858,0.21472349782295386,0.307677566560433,0.5672061914048183,0.25055754857448503,0.0,0.2351305256991847
Bardell,0.00251311137150982,0.02134102019675313,0.02921453226521065,0.03786059007729624,0.08974632279047767,0.15333080546027583,0.24417467623840303,0.14241647363529614,0.2351305256991847,0.0
