,Rogojin,Gania,Epanchin,Lizabetha Prokofievna,Evgenie Pavlovitch,Colia,Muishkin,Lebedeff,Hippolyte,Burdovsky
Rogojin,0.0,0.23614204461360216,0.1028802508689808,0.028344970990471632,0.05765854875355844,0.03124773533737963,0.011463375695600703,0.023584591782142,0.016487357041111754,0.0698019249841066
Gania,0.23614204461360216,0.0,0.2027865634233932,0.30290695079266877,0.2250401934777302,0.06328932163121526,0.21474336260602858,0.04698787444543215,0.08871026027529022,0.36867537943028195
Epanchin,0.1028802508689808,0.2027865634233932,0.0,0.10263485808728913,0.07467800153610488,0.097579517635318,0.051344979628507134,0.07957021027987078,0.06144292056873343,0.12331433902914225
Lizabetha Prokofievna,0.028344970990471632,0.30290695079266877,0.10263485808728913,0.0,0.2062505973130697,0.23215878816680507,0.03677691995989709,0.19068651283581164,0.1669204317794851,0.06723138100515584
Evgenie Pavlovitch,0.05765854875355844,0.2250401934777302,0.07467800153610488,0.2062505973130697,0.0,0.2636086389868374,0.1344575351592079,0.2666915938293833,0.14819327969059043,0.19251010549812278
Colia,0.03124773533737963,0.06328932163121526,0.097579517635318,0.23215878816680507,0.2636086389868374,0.0,0.21982373587205256,0.04802822785288554,0.10813249671875859,0.3674201976776536
Muishkin,0.011463375695600703,0.21474336260602858,0.051344979628507134,0.03677691995989709,0.1344575351592079,0.21982373587205256,0.0,0.19767399432236893,0.19396566768552714,0.1774418838426821
Lebedeff,0.023584591782142,0.04698787444543215,0.07957021027987078,0.19068651283581164,0.2666915938293833,0.04802822785288554,0.19767399432236893,0.0,0.16073343799208178,0.4258341649642483
Hippolyte,0.016487357041111754,0.08871026027529022,0.06144292056873343,0.1669204317794851,0.14819327969059043,0.10813249671875859,0.19396566768552714,0.16073343799208178,0.0,0.42411451818157386
Burdovsky,0.0698019249841066,0.36867537943028195,0.12331433902914225,0.06723138100515584,0.19251010549812278,0.3674201976776536,0.1774418838426821,0.4258341649642483,0.42411451818157386,0.0
