,Barbara,Thedora,Pokrovski,Makar Alexievitch,Bwikov,Rataziaev,Anna,Anna Thedorovna,Petinka,"Makar
Alexievitch"
Barbara,0.0,0.07591268567426385,0.508778489508857,0.06210598284897174,0.12010505734380017,0.05496541862433243,0.2742959698835615,0.0734390438114137,0.15314817671312256,0.03689078015689624
Thedora,0.07591268567426385,0.0,0.4962179356231943,0.13465641662740918,0.09106312195406666,0.05810635406608718,0.3070862637522981,0.09156143561694094,0.1857336712955822,0.04779843846584441
Pokrovski,0.508778489508857,0.4962179356231943,0.0,0.4335487286810717,0.4776052762132665,0.4941197070067412,0.12212770303790817,0.1177611529626588,0.10698443733871404,0.23970716591897323
Makar Alexievitch,0.06210598284897174,0.13465641662740918,0.4335487286810717,0.0,0.41312166224063973,0.3714246562480571,0.32250561764963376,0.03925684436088031,0.15332848346389075,0.03559746058359884
Bwikov,0.12010505734380017,0.09106312195406666,0.4776052762132665,0.41312166224063973,0.0,0.1022450297599034,0.7710318965768813,0.2906951294248111,0.23185051007007992,0.2555931097239061
Rataziaev,0.05496541862433243,0.05810635406608718,0.4941197070067412,0.3714246562480571,0.1022450297599034,0.0,0.8382007470744447,0.4021288703417281,0.2685069767247956,0.35081989828538984
Anna,0.2742959698835615,0.3070862637522981,0.12212770303790817,0.32250561764963376,0.7710318965768813,0.8382007470744447,0.0,0.34223993096231686,0.49638761157131606,0.46157315413451055
Anna Thedorovna,0.0734390438114137,0.09156143561694094,0.1177611529626588,0.03925684436088031,0.2906951294248111,0.4021288703417281,0.34223993096231686,0.0,0.26756062684215126,0.117860544334995
Petinka,0.15314817671312256,0.1857336712955822,0.10698443733871404,0.15332848346389075,0.23185051007007992,0.2685069767247956,0.49638761157131606,0.26756062684215126,0.0,0.32645243104285326
"Makar
Alexievitch",0.03689078015689624,0.04779843846584441,0.23970716591897323,0.03559746058359884,0.2555931097239061,0.35081989828538984,0.46157315413451055,0.117860544334995,0.32645243104285326,0.0
