,Douglas,Ellen,Roderick,Roderick Dhu,Allan,Malcolm,Saxon,Loch Katrine,Alpine,Malcolm Graeme
Douglas,0.0,0.13629219694209582,0.10595289091378464,0.08134728695805118,0.1435185999472342,0.03242427478422548,0.05255609749497709,0.08968477315588384,0.15259822745971724,0.01627220561076425
Ellen,0.13629219694209582,0.0,0.1684222172419369,0.09885481707853314,0.0525474159411368,0.04494830207168612,0.1329038782868701,0.05069426122983415,0.06814850643449712,0.0327422830006156
Roderick,0.10595289091378464,0.1684222172419369,0.0,0.07467048852343683,0.04693665171635447,0.060214266869354355,0.039271628907544834,0.053576837764684054,0.10421247031923309,0.03635069474980215
Roderick Dhu,0.08134728695805118,0.09885481707853314,0.07467048852343683,0.0,0.22779438923577525,0.18599790193097726,0.07723764231547188,0.19529944595901857,0.2630106801903478,0.11639257760970892
Allan,0.1435185999472342,0.0525474159411368,0.04693665171635447,0.22779438923577525,0.0,0.38352576102114394,0.259807337153217,0.15573974731040957,0.24774035314005413,0.15878385805997713
Malcolm,0.03242427478422548,0.04494830207168612,0.060214266869354355,0.18599790193097726,0.38352576102114394,0.0,0.3135083850280403,0.3212313976099043,0.33630141001964053,0.07579038782868695
Saxon,0.05255609749497709,0.1329038782868701,0.039271628907544834,0.07723764231547188,0.259807337153217,0.3135083850280403,0.0,0.41314406042662133,0.46730229922121574,0.14886828335238766
Loch Katrine,0.08968477315588384,0.05069426122983415,0.053576837764684054,0.19529944595901857,0.15573974731040957,0.3212313976099043,0.41314406042662133,0.0,0.2454294061892338,0.43591152932899485
Alpine,0.15259822745971724,0.06814850643449712,0.10421247031923309,0.2630106801903478,0.24774035314005413,0.33630141001964053,0.46730229922121574,0.2454294061892338,0.0,0.4058954797291354
Malcolm Graeme,0.01627220561076425,0.0327422830006156,0.03635069474980215,0.11639257760970892,0.15878385805997713,0.07579038782868695,0.14886828335238766,0.43591152932899485,0.4058954797291354,0.0
