,Nemo,Ned Land,Captain Nemo,Ned,Conseil,M. Aronnax,Abraham Lincoln,Captain,Ned Land’s,Farragut
Nemo,0.0,0.16368114330207145,0.04024750121752226,0.053960419594910984,0.027238018337228713,0.010463325177033331,0.10835764919748439,0.0054971266823494675,0.009393196192016914,0.025136511977914548
Ned Land,0.16368114330207145,0.0,0.07826972189997047,0.012544095293469035,0.013412769579873664,0.0201300109539738,0.01170350225800526,0.009981583448617456,0.00372720315656742,0.014339466891503115
Captain Nemo,0.04024750121752226,0.07826972189997047,0.0,0.05359584910330757,0.024914896700216932,0.007056281173124583,0.09636953113135284,0.00735122101638122,0.009174375721452882,0.01723094820892539
Ned,0.053960419594910984,0.012544095293469035,0.05359584910330757,0.0,0.02765975809459105,0.03105769430038101,0.05546902827583142,0.029999771348890862,0.0066757768782962105,0.044289680017089904
Conseil,0.027238018337228713,0.013412769579873664,0.024914896700216932,0.02765975809459105,0.0,0.05470883578786998,0.24524660691974473,0.028842250256128157,0.014833679088272008,0.10337562702467651
M. Aronnax,0.010463325177033331,0.0201300109539738,0.007056281173124583,0.03105769430038101,0.05470883578786998,0.0,0.639671787306411,0.050000089026464196,0.03564449611370537,0.1171549541260108
Abraham Lincoln,0.10835764919748439,0.01170350225800526,0.09636953113135284,0.05546902827583142,0.24524660691974473,0.639671787306411,0.0,0.39546539421647725,0.18544616273895623,0.00217149810467718
Captain,0.0054971266823494675,0.009981583448617456,0.00735122101638122,0.029999771348890862,0.028842250256128157,0.050000089026464196,0.39546539421647725,0.0,0.1192833680143871,0.1520292398764203
Ned Land’s,0.009393196192016914,0.00372720315656742,0.009174375721452882,0.0066757768782962105,0.014833679088272008,0.03564449611370537,0.18544616273895623,0.1192833680143871,0.0,0.308417462837118
Farragut,0.025136511977914548,0.014339466891503115,0.01723094820892539,0.044289680017089904,0.10337562702467651,0.1171549541260108,0.00217149810467718,0.1520292398764203,0.308417462837118,0.0
