,Jacob,Flanders,Durrant,Clara,Jarvis,Sandra,Archer,Bowley,Cruttendon,Floyd
Jacob,0.0,0.008206627261157857,0.011095689352605222,0.006739610720817474,0.012953003077261214,0.0038199873080699965,0.00875832116559119,0.009483070483935978,0.013212751520711774,0.008349295317643493
Flanders,0.008206627261157857,0.0,0.6701115241306206,0.7436971800226003,0.05030042793164084,0.526992508925121,0.01166336960105506,0.4032700479906217,0.1301570406685876,0.06958378471731587
Durrant,0.011095689352605222,0.6701115241306206,0.0,0.1728148486308724,0.30145740603363,0.14313031563199075,0.8172449287990833,0.17979425394732024,0.2716841793412559,0.7001181448510826
Clara,0.006739610720817474,0.7436971800226003,0.1728148486308724,0.0,0.811761594680734,0.1375417007895231,1.3628028197761135,0.23236356101403088,0.7314635626466358,1.2351965679117014
Jarvis,0.012953003077261214,0.05030042793164084,0.30145740603363,0.811761594680734,0.0,0.7055591894181918,0.5083967233447945,0.5861146600359013,0.1791793890394071,0.3670059242512259
Sandra,0.0038199873080699965,0.526992508925121,0.14313031563199075,0.1375417007895231,0.7055591894181918,0.0,1.2628085111393716,0.31770031963219386,0.6521243376004053,1.1671690766646257
Archer,0.00875832116559119,0.01166336960105506,0.8172449287990833,1.3628028197761135,0.5083967233447945,1.2628085111393716,0.0,1.181838892552295,0.642478031508479,0.1448543534349667
Bowley,0.009483070483935978,0.4032700479906217,0.17979425394732024,0.23236356101403088,0.5861146600359013,0.31770031963219386,1.181838892552295,0.0,0.9057755988474605,1.2116441367183206
Cruttendon,0.013212751520711774,0.1301570406685876,0.2716841793412559,0.7314635626466358,0.1791793890394071,0.6521243376004053,0.642478031508479,0.9057755988474605,0.0,0.5239024173247714
Floyd,0.008349295317643493,0.06958378471731587,0.7001181448510826,1.2351965679117014,0.3670059242512259,1.1671690766646257,0.1448543534349667,1.2116441367183206,0.5239024173247714,0.0
