,Brown,Bennett,Hilda,Wells,Galsworthy,Smith,Strachey,Eliot,Waterloo,Skellorn
Brown,0.0,0.23202962732000124,0.28192153466908226,0.05971515284274989,0.057409285702397866,0.019350915064103448,0.19649954794485777,0.20386482231462727,0.026245634281483493,0.12042604921561531
Bennett,0.23202962732000124,0.0,0.12886394166558204,0.10056315218338994,0.05128781271526748,0.3990757920301771,0.02209229923503294,0.035984933439402234,0.0145222885129445,0.010158009809857746
Hilda,0.28192153466908226,0.12886394166558204,0.0,1.2891236394399175,1.211683640708363,0.6453778810960439,1.0406833441490442,0.9199389032638672,0.6813884691324452,0.0207153321517233
Wells,0.05971515284274989,0.10056315218338994,1.2891236394399175,0.0,0.10080440500041928,0.8424625033961597,0.09729877322012756,0.2194540570365779,0.11041330035472276,0.7707988887626139
Galsworthy,0.057409285702397866,0.05128781271526748,1.211683640708363,0.10080440500041928,0.0,0.7640404388843345,0.09861188412481145,0.18026599336919907,0.08338830900571283,0.6401779118744244
Smith,0.019350915064103448,0.3990757920301771,0.6453778810960439,0.8424625033961597,0.7640404388843345,0.0,0.6759871479467776,0.5538318641303274,0.416232355274461,0.6764669331918762
Strachey,0.19649954794485777,0.02209229923503294,1.0406833441490442,0.09729877322012756,0.09861188412481145,0.6759871479467776,0.0,0.12215528381645033,0.57837367975699,1.2650979049523103
Eliot,0.20386482231462727,0.035984933439402234,0.9199389032638672,0.2194540570365779,0.18026599336919907,0.5538318641303274,0.12215528381645033,0.0,0.5495958838722703,1.1443534640671333
Waterloo,0.026245634281483493,0.0145222885129445,0.6813884691324452,0.11041330035472276,0.08338830900571283,0.416232355274461,0.57837367975699,0.5495958838722703,0.0,0.9372457526933289
Skellorn,0.12042604921561531,0.010158009809857746,0.0207153321517233,0.7707988887626139,0.6401779118744244,0.6764669331918762,1.2650979049523103,1.1443534640671333,0.9372457526933289,0.0
