,Clarissa,Dick,Mrs Dalloway,Ben,Hugh Whitbread,Dighton,Hugh,Queen,Shakespeare,H. M.'s
Clarissa,0.0,0.22744360902255642,0.27071150097465885,0.4591455490578297,0.10266406757634829,0.1798245614035087,0.022538986354775803,0.12853313840155944,0.10879629629629628,0.43810916179337234
Dick,0.22744360902255642,0.0,0.5880441845354125,0.7764782326185835,0.419996751137102,0.23976608187134502,0.129995126705653,0.20626218323586737,0.07882553606237819,0.42909356725146197
Mrs Dalloway,0.27071150097465885,0.5880441845354125,0.0,0.19769330734243018,0.16804743339831055,0.8113222871994801,0.11245126705653019,0.39071637426900585,1.2587719298245612,0.14108187134502925
Ben,0.4591455490578297,0.7764782326185835,0.19769330734243018,0.0,0.3564814814814814,0.999756335282651,0.402046783625731,0.6803118908382066,1.5483674463937622,0.019249512670565322
Hugh Whitbread,0.10266406757634829,0.419996751137102,0.16804743339831055,0.3564814814814814,0.0,0.6432748538011696,0.0939327485380117,0.37219785575048736,1.240253411306043,0.3260233918128655
Dighton,0.1798245614035087,0.23976608187134502,0.8113222871994801,0.999756335282651,0.6432748538011696,0.0,0.5097465886939571,0.2314814814814814,0.6070906432748538,0.989522417153996
Hugh,0.022538986354775803,0.129995126705653,0.11245126705653019,0.402046783625731,0.0939327485380117,0.5097465886939571,0.0,0.27826510721247566,1.1463206627680314,0.4792884990253411
Queen,0.12853313840155944,0.20626218323586737,0.39071637426900585,0.6803118908382066,0.37219785575048736,0.2314814814814814,0.27826510721247566,0.0,0.8680555555555556,0.7102826510721247
Shakespeare,0.10879629629629628,0.07882553606237819,1.2587719298245612,1.5483674463937622,1.240253411306043,0.6070906432748538,1.1463206627680314,0.8680555555555556,0.0,1.6159844054580896
H. M.'s,0.43810916179337234,0.42909356725146197,0.14108187134502925,0.019249512670565322,0.3260233918128655,0.989522417153996,0.4792884990253411,0.7102826510721247,1.6159844054580896,0.0
