,Katharine,Mary,Ralph,Cassandra,Denham,Hilbery,William,Rodney,Seal,Ralph Denham
Katharine,0.0,0.02251083990321079,0.03379882773302168,0.011360417680290402,0.01141458295110229,0.00732462536217367,0.008326405385510815,0.011920778038942014,0.013573092124219827,0.003454808384973947
Mary,0.02251083990321079,0.0,0.07708642048666393,0.069934060534588,0.05082857325247504,0.06413861506156826,0.03705966682109604,0.0509877178080936,0.003509590507404055,0.014437743959054455
Ralph,0.03379882773302168,0.07708642048666393,0.0,0.1227962487416876,0.15089276899980014,0.08518092181881788,0.05693407628111022,0.11123152698873842,0.05220509574235842,0.009695994546993976
Cassandra,0.011360417680290402,0.069934060534588,0.1227962487416876,0.0,0.43564647974167336,0.20926191725800153,0.07714472439863909,0.1515390713306771,0.08266757582428078,0.016401015780511494
Denham,0.01141458295110229,0.05082857325247504,0.15089276899980014,0.43564647974167336,0.0,0.35025642666878737,0.3136883637649528,0.0821117246768472,0.021462535633067915,0.0535100097685825
Hilbery,0.00732462536217367,0.06413861506156826,0.08518092181881788,0.20926191725800153,0.35025642666878737,0.0,0.1657774200044387,0.13579912112918563,0.06234612781468144,0.026574485108292908
William,0.008326405385510815,0.03705966682109604,0.05693407628111022,0.07714472439863909,0.3136883637649528,0.1657774200044387,0.0,0.10908557071466174,0.09727102780976046,0.011999411172347282
Rodney,0.011920778038942014,0.0509877178080936,0.11123152698873842,0.1515390713306771,0.0821117246768472,0.13579912112918563,0.10908557071466174,0.0,0.09581469053508122,0.040454457263753275
Seal,0.013573092124219827,0.003509590507404055,0.05220509574235842,0.08266757582428078,0.021462535633067915,0.06234612781468144,0.09727102780976046,0.09581469053508122,0.0,0.42714222305171173
Ralph Denham,0.003454808384973947,0.014437743959054455,0.009695994546993976,0.016401015780511494,0.0535100097685825,0.026574485108292908,0.011999411172347282,0.040454457263753275,0.42714222305171173,0.0
