,Denise,Mouret,Pauline,Hutin,Henriette,Geneviève,Clara,Jean,Jouve,Madame Marty
Denise,0.0,0.05280096958969984,0.001141227060941565,0.007863079749915562,0.022063935416905336,0.004262049057324456,0.0022483042152887907,0.0015088699110604351,0.0044385702967030625,0.00935138074613201
Mouret,0.05280096958969984,0.0,0.05527510135393668,0.02625077663653565,0.0054429617877894115,0.12055697041469321,0.006240923100240221,0.04353955035491737,0.007266374952497097,0.005525375552859876
Pauline,0.001141227060941565,0.05527510135393668,0.0,0.08530110582319703,0.24269567966759553,0.5461598062491735,0.08234028630834275,0.2506902157613053,0.05796243475359465,0.09957878767378961
Hutin,0.007863079749915562,0.02625077663653565,0.08530110582319703,0.0,0.22744276787147405,0.522045210758044,0.08853699123710868,0.27908959493482993,0.07510883636573047,0.09360463339339802
Henriette,0.022063935416905336,0.0054429617877894115,0.24269567966759553,0.22744276787147405,0.0,0.5321854254092454,0.16795257400379976,0.4547053650863247,0.2646284130864902,0.10050602388289781
Geneviève,0.004262049057324456,0.12055697041469321,0.5461598062491735,0.522045210758044,0.5321854254092454,0.0,0.4895680947082902,0.3712569016903722,0.5553430372261869,0.2872713586369841
Clara,0.0022483042152887907,0.006240923100240221,0.08234028630834275,0.08853699123710868,0.16795257400379976,0.4895680947082902,0.0,0.29075413476179474,0.1268902642864852,0.0660917954416872
Jean,0.0015088699110604351,0.04353955035491737,0.2506902157613053,0.27908959493482993,0.4547053650863247,0.3712569016903722,0.29075413476179474,0.0,0.2035217692124329,0.26685441484568484
Jouve,0.0044385702967030625,0.007266374952497097,0.05796243475359465,0.07510883636573047,0.2646284130864902,0.5553430372261869,0.1268902642864852,0.2035217692124329,0.0,0.14936038722193898
Madame Marty,0.00935138074613201,0.005525375552859876,0.09957878767378961,0.09360463339339802,0.10050602388289781,0.2872713586369841,0.0660917954416872,0.26685441484568484,0.14936038722193898,0.0
